ID;sex;birthRegion;resRegion;eduRegion;eduSize
N00768;sex1;regN1b;regN1a;regN1b;size1
N00769;sex2;regN1b;regN1b;regN1b;size2
N00770;sex2;regN1b;regN4a;regN1b;size1
N00771;sex1;regN3b;regN2c;regN3b;size3
N00772;sex1;regN1b;regN1b;regN2d;size1
N00773;sex1;regN3b;regN1a;regN3e;size3
N00774;sex1;regN1a;regN1a;regN1a;size1
N00775;sex1;regN4a;regN2c;regN2c;size3
N00776;sex2;regN1b;regN4b;regN1a;size1
N00777;sex2;regN1b;regN4a;regN1a;size1
N00778;sex1;regN1a;regN1a;regN1a;size1
N00779;sex1;regZ;regN1a;regN4b;size4
N00780;sex2;regN1a;regN1a;regN1a;size1
N00781;sex2;regN1a;regN1a;regN1a;size1
N00782;sex2;regN1a;regN1a;regN1a;size1
N00783;sex2;regN4a;regN1a;regN4a;size2
N00784;sex1;regN1a;regN1a;regN1a;size1
N00785;sex1;regN1a;regN1a;regN1a;size1
N00786;sex1;regN1a;regN1a;regN1a;size2
N00787;sex1;regN1a;regN1a;regN1a;size1
N00788;sex2;regN2c;regN1a;regN2c;size1
N00789;sex2;regN1a;regN1a;regN1a;size1
N00790;sex2;regN1a;regN1a;regN1a;size2
N00791;sex2;regN1a;regN1a;regN1a;size1
N00792;sex2;regN1a;regN2b;regN1a;size1
N00793;sex2;regN1a;regN1a;regN1a;size2
N00794;sex1;regN2b;regN1a;regN1b;size1
N00795;sex1;regZ;regN1a;regN1a;size1
N00796;sex1;regN1a;regN1a;regN1a;size1
N00797;sex1;regN2e;regN1a;regN2e;size2
N00798;sex1;regN1b;regN1a;regN1b;size1
N00799;sex1;regN1a;regN1a;regN1a;size1
N00800;sex2;regN1a;regN1a;regN1a;size1
N00801;sex2;regN2c;regN2c;regN2c;size1
N00802;sex1;regN1a;regN2c;regN1a;size1
N00803;sex2;regN3d;regN2b;regN3b;size3
N00804;sex1;regN4a;regN2c;regN4b;size4
N00805;sex1;regN4a;regN4b;regN4a;size3
N00806;sex2;regN1a;regN2d;regN1a;size3
N00807;sex2;regN2c;regN2c;regN2c;size1
N00808;sex1;regN2c;regN2c;regN2c;size1
N00809;sex1;regN3a;regN2c;regN3a;size3
N00810;sex1;regN3b;regN3b;regN3a;size5
N00811;sex1;regN2c;regN2c;regN2c;size1
N00812;sex1;regN1a;regN2c;regN4a;size1
N00813;sex2;regN3a;regN4b;regN3a;size3
N00814;sex1;regN3d;regN2c;regN4a;size1
N00815;sex1;regN1b;regN4a;regN1a;size1
N00816;sex2;regN1b;regN2c;regN2c;size1
N00817;sex1;regN1a;regN2c;regN4a;size5
N00818;sex1;regN1b;regN2c;regN1b;size1
N00819;sex2;regN2e;regN2c;regN1b;size5
N00820;sex2;regN3b;regN2c;regN3b;size2
N00821;sex2;regN4a;regN4a;regN4a;size6
N00822;sex2;regN2c;regN2c;regN4a;size1
N00823;sex2;regN3b;regN2d;regN3b;size2
N00824;sex2;regN1b;regN3a;regN1b;size2
N00825;sex2;regZ;regN2c;regN1b;size2
N01001;sex2;regV1;regN2c;regN1a;size3
N01002;sex1;regN4b;regN4a;regN4b;size1
N01003;sex1;regN1a;regN1a;regN1b;size3
N01004;sex2;regN1b;regN2c;regN1b;size4
N01005;sex2;regN1b;regN1b;regN1b;size4
N01006;sex1;regN2c;regN2c;regN2c;size1
N01010;sex1;regN4a;regN2c;regN4a;size4
N01011;sex2;regN2c;regN2c;regN2c;size3
N01012;sex1;regN1a;regN2c;regN1a;size6
N01013;sex2;regN1c;regN2c;regN1c;size6
N01014;sex1;regN4a;regN2d;regN4a;size5
N01015;sex2;regN1a;regN2d;regN2c;size6
N01016;sex2;regN1b;regN1c;regN1b;size4
N01017;sex1;regN1b;regN1c;regN3c;size2
N01018;sex1;regN3a;regN1c;regN3a;size3
N01019;sex1;regN4a;regN1c;regN4a;size1
N01020;sex1;regN1c;regN1c;regN4a;size4
N01021;sex2;regN3b;regN1c;regN2b;size4
N01022;sex2;regN3b;regN3b;regN3b;size4
N01023;sex1;regN3b;regN3b;regN3b;size4
N01024;sex1;regN2c;regN2c;regN3a;size4
N01025;sex2;regN4a;regN2c;regN4a;size5
N01026;sex1;regN3e;regN1c;regN3e;size4
N01027;sex2;regN1b;regN1c;regN1b;size2
N01028;sex2;regN2e;regN2c;regN2c;size1
N01029;sex1;regN2c;regN2c;regN2c;size1
N01030;sex2;regN2c;regN1c;regN2c;size4
N01031;sex2;regN3b;regN3b;regN3b;size6
N01032;sex2;regN4a;regN3b;regN4a;size4
N01033;sex1;regN4b;regN2c;regN4b;size2
N01034;sex1;regN4b;regN2c;regN4b;size5
N01035;sex2;regN2c;regN2c;regN2c;size3
N01036;sex2;regN4a;regN2c;regN4a;size5
N01037;sex2;regN2a;regN2a;regN2a;size6
N01038;sex2;regN2a;regN2a;regN2a;size6
N01039;sex1;regN2a;regN2a;regN2a;size6
N01040;sex2;regN2a;regN2a;regN2a;size6
N01041;sex2;regN1c;regN2d;regN2c;size3
N01042;sex1;regN4a;regN2c;regN4a;size5
N01043;sex1;regN4a;regN2d;regN4a;size5
N01044;sex2;regN4b;regN1a;regN4b;size5
N01045;sex1;regN2a;regN1a;regN2a;size5
N01046;sex1;regN4b;regN1a;regN4b;size6
N01048;sex2;regN4a;regN1c;regN2c;size6
N01049;sex2;regN2c;regN1c;regN2c;size6
N01050;sex1;regN2c;regN1c;regN2c;size4
N01051;sex2;regN4b;regN2c;regN4b;size3
N01052;sex2;regN4b;regN4b;regN4b;size2
N01053;sex1;regN4b;regN4b;regN4b;size3
N01054;sex1;regN1c;regN1c;regN1c;size6
N01055;sex2;regN1a;regN1a;regN1a;size5
N01056;sex2;regN1a;regN1a;regN1a;size5
N01057;sex1;regN2c;regN1a;regN2c;size1
N01058;sex1;regN3b;regN1a;regN3b;size4
N01059;sex2;regN4a;regN1a;regN2d;size1
N01060;sex1;regN1a;regN1a;regN1a;size3
N01062;sex1;regN1a;regN4a;regN1a;size5
N01063;sex2;regN3b;regN4a;regN1a;size1
N01064;sex1;regN4a;regN4a;regN4a;size5
N01065;sex2;regN1c;regN1c;regN1c;size1
N01066;sex2;regN1c;regN1c;regN1c;size2
N01068;sex2;regN2c;regN3a;regN2c;size1
N01069;sex1;regN4b;regN3a;regN2c;size1
N01070;sex1;regN4a;regN2c;regN4a;size4
N01071;sex1;regN2c;regN2c;regN4a;size4
N01072;sex1;regN4a;regN2c;regN4a;size1
N01073;sex1;regN1a;regN2c;regN3b;size6
N01077;sex1;regN2b;regN2c;regN4a;size1
N01078;sex1;regN3d;regN2c;regN4b;size5
N01080;sex1;regN1a;regN2c;regN2a;size3
N01081;sex1;regN3a;regN2c;regN3a;size4
N01082;sex2;regN3e;regN2c;regN3e;size6
N01083;sex2;regN3b;regN2c;regN3b;size3
N01084;sex1;regN3b;regN3b;regN3b;size3
N01085;sex1;regN2d;regN2f;regN2d;size4
N01086;sex1;regN2b;regN1c;regN2b;size4
N01087;sex2;regN2c;regN2c;regN3b;size2
N01088;sex1;regN4b;regN2c;regN4b;size1
N01089;sex2;regN3a;regN2c;regN3a;size5
N01090;sex2;regN3a;regN2c;regN3a;size5
N01091;sex2;regN3a;regN2c;regN3a;size5
N01092;sex2;regN4a;regN2c;regN4a;size3
N01093;sex2;regN4a;regN2c;regN4a;size5
N01096;sex2;regN2c;regN2c;regN4a;size4
N01097;sex2;regN4a;regN2c;regN4a;size4
N01098;sex2;regN2c;regN4a;regN2c;size6
N01099;sex1;regN1a;regN4a;regN1a;size4
N01100;sex1;regN1c;regN2c;regN1c;size1
N01101;sex2;regN4a;regN2c;regN1b;size1
N01102;sex2;regN1c;regN1c;regN1c;size6
N01103;sex2;regN1c;regN1c;regN1a;size1
N01105;sex2;regN1a;regN1a;regN1a;size4
N01106;sex1;regN1a;regN1a;regN1a;size1
N01109;sex2;regN2a;regN2c;regN2a;size5
N01110;sex2;regN3b;regN2c;regN2d;size4
N01111;sex2;regN4a;regN2c;regN4a;size6
N01113;sex2;regN1a;regN2c;regN4b;size3
N01114;sex2;regN4a;regN2c;regN4b;size3
N01115;sex2;regN1a;regN1c;regN1c;size5
N01116;sex1;regN2c;regN1c;regN2c;size1
N01121;sex1;regN1b;regN1b;regN1b;size2
N01122;sex1;regN4a;regN1b;regN4a;size1
N01123;sex2;regN1a;regN4b;regN1a;size1
N01124;sex2;regN2d;regV1;regN2d;size3
N01125;sex1;regN2d;regV1;regN4a;size1
N01126;sex2;regN2a;regN2a;regN2a;size4
N01127;sex2;regN4a;regN4a;regN4a;size4
N01128;sex2;regN4b;regN4a;regZ;sizeX
N01129;sex2;regN1a;regN4a;regN1a;size4
N01130;sex1;regN3d;regN2c;regN3d;size6
N01131;sex1;regN1b;regN2c;regN1b;size1
N01132;sex1;regN3c;regN3b;regN3c;size2
N01133;sex1;regN3b;regN3b;regN3b;size2
N01134;sex2;regN3c;regN2c;regN3c;size2
N01135;sex1;regN2d;regN2c;regN2d;sizeX
N01138;sex2;regZ;regN1a;regN2d;size3
N01139;sex1;regN1a;regN1a;regN1a;size1
N01140;sex1;regN3c;regN2b;regN3c;size2
N01141;sex2;regN1a;regN2b;regN1a;size4
N01142;sex1;regN2b;regN2b;regN2b;size5
N01143;sex2;regN3e;regN2c;regN3e;size6
N01144;sex1;regN3b;regN2c;regN2d;size4
N01145;sex1;regN3e;regN3d;regN3e;size6
N01146;sex1;regN3a;regN2c;regN3a;size6
N01147;sex2;regN4b;regN2c;regN4b;size1
N01148;sex2;regN2a;regN2a;regN2a;size4
N01149;sex2;regN1a;regN2d;regN1a;size2
N01150;sex2;regZ;regN2d;regZ;sizeX
N01151;sex2;regN4a;regN4a;regN4a;size6
N01152;sex2;regN4a;regN4a;regN4a;size6
N01153;sex2;regN4a;regN4a;regN4a;size5
N01154;sex2;regN4a;regN4a;regN4a;size4
N01155;sex2;regN4a;regN4a;regN4a;size4
N01156;sex2;regN2c;regN2c;regN2c;size1
N01157;sex1;regN2c;regN2c;regN2c;size1
N01158;sex2;regN1b;regN1a;regN1b;size2
N01159;sex1;regN1b;regN1a;regN1b;size2
N01160;sex2;regN1a;regN1a;regN1a;size3
N01161;sex1;regN2b;regN1c;regN2b;size4
N01162;sex2;regN3a;regN1c;regN4a;size4
N01163;sex2;regN2c;regN2c;regN2c;size1
N01164;sex1;regN2c;regN3a;regN2c;size1
N01167;sex1;regN2c;regN2c;regN2c;size1
N01168;sex1;regN2c;regN2c;regN3a;size4
N01169;sex2;regN2c;regN2c;regN2c;size1
N01170;sex1;regN2c;regN2c;regN2c;size1
N01171;sex2;regN1a;regN2c;regN2c;size4
N01172;sex1;regN2c;regN2c;regN2c;size1
N01173;sex2;regN2c;regN2c;regN2c;size1
N01174;sex1;regX;regX;regX;sizeX
N01175;sex1;regX;regN1a;regX;sizeX
N01176;sex1;regX;regN4a;regX;sizeX
N01177;sex1;regX;regN1b;regX;sizeX
N01178;sex1;regX;regN1a;regX;sizeX
N01179;sex1;regX;regN4a;regX;sizeX
N01180;sex1;regX;regN4a;regX;sizeX
N01181;sex1;regX;regN4a;regX;sizeX
N01182;sex1;regX;regX;regX;sizeX
N01183;sex1;regX;regX;regX;sizeX
N01184;sex1;regX;regN3e;regX;sizeX
N01185;sex1;regX;regN3e;regX;sizeX
N01186;sex1;regX;regN3b;regX;sizeX
N01187;sex1;regX;regN3b;regX;sizeX
N01188;sex1;regX;regN2d;regX;sizeX
N01189;sex1;regX;regN3b;regX;sizeX
N01190;sex1;regX;regN3e;regX;sizeX
N01191;sex1;regX;regN3c;regX;sizeX
N01192;sex1;regX;regN2f;regX;sizeX
N01193;sex1;regX;regX;regX;sizeX
N01194;sex1;regX;regN1b;regX;sizeX
N01195;sex1;regX;regN1c;regX;sizeX
N01196;sex1;regX;regN4a;regX;sizeX
N01197;sex1;regX;regN4a;regX;sizeX
N01198;sex1;regX;regX;regX;sizeX
N01199;sex1;regX;regX;regX;sizeX
N01200;sex1;regX;regX;regX;sizeX
N01201;sex1;regX;regX;regX;sizeX
N01202;sex1;regX;regX;regX;sizeX
N01203;sex1;regX;regX;regX;sizeX
N01204;sex2;regN1a;regN1a;regN1a;size4
N01205;sex1;regN1a;regN1a;regN1a;size1
N01206;sex2;regN1a;regN1a;regN1a;size3
N01207;sex1;regN4a;regN4a;regN4a;size5
N01208;sex1;regN3a;regN2c;regN3a;size4
N01209;sex2;regN4a;regN4a;regN4a;size5
N01211;sex2;regN2b;regN2b;regN2b;size4
N01212;sex2;regN1c;regN1c;regN1c;size1
N01213;sex2;regN1c;regN1c;regN1c;size1
N01214;sex2;regN2c;regN2c;regN2c;size4
N01215;sex1;regN2c;regN2c;regN2c;size6
N01216;sex1;regN2b;regN1c;regN1c;size1
N01217;sex1;regN2b;regN2b;regN2b;size1
N01218;sex2;regN1c;regN1c;regN1c;size1
N01219;sex1;regN4a;regN4a;regN4a;size4
N01220;sex2;regN4a;regN4a;regN4a;size1
N01221;sex2;regN4a;regN4a;regZ;sizeX
N01222;sex1;regN3d;regN4a;regN2d;size1
N01223;sex2;regN2b;regN4a;regN2b;size4
N01224;sex2;regN4a;regN4a;regN4a;size6
N01225;sex2;regN2e;regN2c;regN4a;size6
N01226;sex2;regZ;regN2c;regN2c;size4
N01227;sex2;regN2c;regN2c;regN2c;size6
N01228;sex1;regN2c;regN2c;regN2c;size5
N01229;sex1;regN2c;regN2c;regN2c;size5
N01230;sex2;regN1a;regN1a;regN1a;size1
N01231;sex2;regN1a;regN1a;regN1a;size2
N01232;sex1;regN4b;regN4b;regN4b;size6
N01233;sex2;regN4b;regN4b;regN4b;size6
N01234;sex2;regN4b;regN4b;regN4b;size6
N01235;sex2;regN3a;regN3a;regN3a;size6
N01236;sex1;regN3a;regN2c;regN3a;size3
N01237;sex1;regN2c;regN2c;regN2c;size6
N01238;sex1;regN1b;regN2c;regN1b;size1
N01239;sex1;regN2c;regN2c;regN3a;size3
N01240;sex1;regN2d;regN4a;regN4a;size3
N01241;sex1;regN4a;regN4a;regN4a;size3
N01242;sex2;regN2d;regN2c;regN2d;size4
N01243;sex1;regN2d;regN2c;regN2d;size5
N01244;sex2;regN1a;regN2c;regN1a;size1
N01245;sex1;regN4a;regN2c;regN4a;size1
N01246;sex1;regN4a;regN4a;regN4a;size4
N01247;sex2;regN4a;regN4a;regN4a;size6
N01248;sex2;regN4a;regN4a;regN4a;size1
N01249;sex2;regN4a;regN4a;regN4a;size4
N01250;sex1;regN4a;regN4a;regN4a;size4
N01251;sex2;regN3b;regN3b;regN3b;size2
N01252;sex2;regN3b;regN3b;regN3b;size2
N01253;sex2;regN3b;regN2c;regN3b;size2
N01254;sex2;regN2a;regN4a;regN4a;size4
N01255;sex2;regN4a;regN4a;regN4a;size3
N01257;sex2;regN2d;regN2b;regN2d;size4
N01258;sex1;regN2b;regN2b;regN2b;size4
N01259;sex2;regN4a;regN4a;regN4a;size3
N01260;sex2;regN4a;regN4a;regN4a;size3
N01261;sex2;regN2c;regN4a;regZ;sizeX
N01262;sex1;regN2c;regN2c;regN2c;size4
N01263;sex1;regN2c;regN2c;regN2c;size4
N01264;sex2;regN3a;regN1b;regN3a;size3
N01265;sex1;regN1b;regN1b;regN1b;size1
N01266;sex1;regN4a;regN4a;regN4a;size3
N01267;sex2;regN2a;regN1a;regN2a;size5
N01268;sex1;regN3e;regN1a;regN3e;size2
N01269;sex2;regN2e;regN2e;regN2e;size5
N01270;sex1;regN2e;regN2e;regN2e;size5
N01271;sex2;regN2e;regN2e;regN2e;size5
N01272;sex1;regN2e;regN2e;regN2e;size6
N01273;sex1;regN2e;regN2e;regN2e;size5
N01274;sex2;regN4b;regN4b;regN4b;size5
N01275;sex1;regN1b;regN4b;regN1b;size1
N01278;sex2;regN2c;regN2c;regN2c;size4
N01285;sex1;regN2c;regN2c;regN3a;size4
N01564;sex2;regZ;regN2c;regN1b;size2
N01999;sex1;regN2d;regN2c;regN2d;size3
N02000;sex1;regN1a;regN1a;regN1a;size1
N02001;sex1;regN1a;regN1a;regN1a;size3
N02002;sex1;regN1a;regN1a;regN1a;size2
N02003;sex1;regN2b;regN2b;regN2b;size1
N02004;sex1;regN1c;regN1c;regN1c;size5
N02005;sex2;regN1a;regN1a;regN1a;size1
N02006;sex1;regN2d;regN2d;regN2d;size3
N02007;sex1;regN3b;regN1b;regN1a;size4
N02008;sex1;regN1a;regN1a;regN1a;size1
N02009;sex1;regN1a;regN1a;regN1a;size4
N02010;sex1;regX;regNx;regX;sizeX
N03000;sex1;regN1a;regN1b;regN1b;size2
N03001;sex1;regX;regN1b;regX;sizeX
N03002;sex1;regX;regX;regX;sizeX
N03003;sex1;regX;regX;regX;sizeX
N03004;sex2;regN3a;regX;regN3a;size3
N03005;sex1;regX;regX;regX;sizeX
N03006;sex1;regX;regX;regX;sizeX
N03007;sex2;regN2d;regN1b;regN2d;sizeX
N03008;sex2;regN3b;regN4b;regN3b;size2
N03009;sex2;regN4a;regX;regN4a;size6
N03010;sex2;regZ;regN1c;regN1a;size1
N03011;sex1;regN4b;regN1b;regN4b;size1
N03012;sex1;regN1a;regX;regX;sizeX
N03013;sex1;regX;regX;regX;sizeX
N03014;sex1;regN1a;regX;regX;sizeX
N03015;sex2;regN1b;regN3d;regX;sizeX
N03016;sex1;regZ;regN1c;regN1a;size1
N03017;sex1;regN1a;regN1c;regN1a;size4
N03018;sex1;regN1b;regN1a;regN1b;size5
N03019;sex1;regN2a;regN1a;regN2a;size6
N03020;sex1;regN1b;regN1b;regN1a;size1
N03021;sex1;regN4a;regN4a;regN4a;size1
N03022;sex2;regX;regX;regX;sizeX
N03023;sex1;regX;regX;regX;sizeX
N03024;sex1;regN2d;regN1a;regN2d;size4
N03025;sex2;regN1a;regN2d;regN1a;size3
N03026;sex1;regN4a;regN2c;regN4a;size1
N03027;sex1;regN4b;regN1b;regN4b;size3
N03028;sex2;regX;regX;regX;sizeX
N03029;sex1;regN4b;regX;regX;sizeX
N03030;sex2;regN1a;regN2b;regN1a;size2
N03031;sex1;regN1a;regX;regX;sizeX
N03032;sex1;regX;regN3d;regX;sizeX
N03033;sex1;regX;regX;regX;sizeX
N03034;sex1;regN2b;regN1b;regX;sizeX
N03035;sex1;regZ;regN1b;regZ;sizeX
N03036;sex1;regZ;regN1b;regZ;sizeX
N03037;sex1;regN3c;regN2b;regX;sizeX
N03038;sex1;regN1a;regN2b;regN1a;size2
N03039;sex1;regN1a;regN1b;regN1a;size4
N03040;sex1;regX;regX;regX;sizeX
N03041;sex1;regZ;regN4a;regZ;sizeX
N03042;sex1;regX;regX;regX;sizeX
N03043;sex1;regX;regN1b;regN1b;sizeX
N03044;sex1;regX;regX;regX;sizeX
N03045;sex1;regX;regX;regX;sizeX
N03046;sex2;regN4b;regN1b;regN4b;size3
N03047;sex1;regN4b;regN1a;regN4b;size2
N03048;sex2;regN1c;regN1c;regN1c;size1
N03049;sex1;regX;regN1b;regX;sizeX
N03050;sex1;regN1b;regN1b;regN1b;size1
N03051;sex1;regN3d;regN1b;regN2a;size3
N03052;sex1;regX;regN2c;regX;sizeX
N03053;sex1;regN1b;regN1b;regN1b;size1
N03054;sex1;regX;regX;regX;sizeX
N03055;sex2;regN2c;regN1b;regN2c;size4
N03056;sex2;regX;regX;regX;sizeX
N03057;sex1;regX;regX;regX;sizeX
N03058;sex1;regX;regX;regX;sizeX
N03059;sex1;regN3e;regN1b;regX;sizeX
N03060;sex1;regN1a;regN1b;regX;sizeX
N03061;sex1;regX;regX;regX;sizeX
N03062;sex2;regN1b;regN1b;regN1b;size1
N03063;sex2;regX;regX;regX;sizeX
N03064;sex1;regN3b;regX;regN3b;sizeX
N03065;sex2;regX;regX;regX;sizeX
N03066;sex1;regN1b;regX;regN1b;size4
N03067;sex2;regN1b;regX;regN1b;size2
N03068;sex1;regX;regX;regX;sizeX
N03069;sex1;regN2a;regN1a;regN1a;size4
N03070;sex1;regN3d;regN3c;regN3d;size1
N03071;sex1;regX;regN1b;regX;sizeX
N03072;sex1;regX;regX;regX;sizeX
N03073;sex1;regX;regX;regX;sizeX
N03074;sex1;regN1a;regN1b;regX;sizeX
N03075;sex1;regN1c;regX;regX;sizeX
N03076;sex2;regN1b;regN1b;regN1b;size1
N03077;sex1;regX;regX;regX;sizeX
N03078;sex1;regN1a;regN1a;regN1a;size1
N03080;sex1;regN4a;regN1a;regX;sizeX
N03081;sex1;regN2e;regX;regN1a;size3
N03082;sex1;regX;regN1b;regX;sizeX
N03083;sex1;regN4a;regX;regN1b;size1
N03084;sex1;regN2b;regN2b;regN2b;size1
N03085;sex1;regN1a;regN1b;regNx;sizeX
N03086;sex1;regN3d;regN3d;regN3d;size1
N03087;sex1;regN3c;regN1a;regX;sizeX
N03088;sex2;regX;regX;regX;sizeX
N03089;sex1;regX;regN1c;regX;sizeX
N03090;sex1;regZ;regN1b;regN1b;size3
N03091;sex1;regX;regX;regX;sizeX
N03092;sex1;regX;regX;regX;sizeX
N03093;sex1;regX;regX;regX;sizeX
N03094;sex1;regN2c;regN1b;regN2c;size1
N03095;sex2;regN1a;regN4a;regX;sizeX
N03096;sex1;regX;regX;regX;sizeX
N03097;sex1;regX;regN4a;regX;sizeX
N03098;sex1;regN4b;regN4a;regX;sizeX
N03099;sex1;regN1b;regX;regX;sizeX
N03100;sex1;regN4a;regN4a;regN4a;size1
N03101;sex1;regN1b;regX;regX;sizeX
N03102;sex1;regN2c;regN2c;regX;sizeX
N03103;sex1;regZ;regN2b;regX;sizeX
N03104;sex1;regN1b;regX;regN1b;size2
N03105;sex1;regZ;regZ;regN1b;size1
N03106;sex1;regX;regX;regX;sizeX
N03107;sex1;regX;regX;regX;sizeX
N03108;sex1;regN3b;regN4b;regN3b;sizeX
N03109;sex1;regX;regX;regX;sizeX
N03110;sex1;regZ;regN1c;regN1a;size1
N03111;sex1;regX;regN1c;regX;sizeX
N03112;sex1;regX;regX;regX;sizeX
N03113;sex1;regN1b;regN1b;regN1b;size1
N03114;sex1;regN3a;regN3a;regN3a;sizeX
N03115;sex1;regN1a;regN1b;regN1a;size3
N03116;sex1;regX;regX;regX;sizeX
N03117;sex1;regN3a;regN2c;regN3a;size3
N03118;sex1;regN2e;regZ;regN2e;size5
N03119;sex1;regN2e;regZ;regN2e;size5
N03120;sex1;regN2c;regX;regX;sizeX
N03121;sex1;regX;regX;regX;sizeX
N03122;sex1;regN2c;regN2c;regN2c;size1
N03123;sex1;regN4a;regX;regN4a;size1
N03124;sex2;regX;regNx;regX;sizeX
N03125;sex1;regX;regX;regX;sizeX
N03126;sex1;regX;regN3e;regX;sizeX
N03127;sex1;regX;regX;regX;sizeX
N03128;sex1;regX;regX;regX;sizeX
N03129;sex2;regN3a;regN2b;regN1a;size3
N03130;sex1;regX;regX;regX;sizeX
N03131;sex1;regN2a;regN1a;regN1a;size1
N03132;sex1;regN3e;regN3e;regN3e;sizeX
N03133;sex1;regN3e;regX;regX;sizeX
N03134;sex1;regX;regX;regX;sizeX
N03135;sex1;regN3e;regX;regN3e;size5
N03136;sex1;regN1b;regN1b;regN1b;size1
N03137;sex1;regN2b;regN1b;regX;sizeX
N03138;sex1;regN4a;regN1b;regX;sizeX
N03139;sex1;regX;regX;regX;sizeX
N03140;sex1;regX;regNx;regX;sizeX
N03141;sex1;regX;regX;regX;sizeX
N03142;sex1;regN1a;regN3d;regX;sizeX
N03143;sex1;regX;regX;regX;sizeX
N03144;sex1;regN1b;regX;regN1a;size4
N03145;sex1;regX;regX;regX;sizeX
N03146;sex1;regX;regX;regX;sizeX
N03148;sex1;regX;regX;regX;sizeX
N03149;sex1;regZ;regN1a;regX;sizeX
N03150;sex1;regX;regX;regX;sizeX
N03151;sex1;regX;regX;regX;sizeX
N03152;sex1;regX;regX;regX;sizeX
N03153;sex1;regN3d;regN1b;regX;sizeX
N03154;sex1;regX;regX;regX;sizeX
N03155;sex2;regX;regX;regX;sizeX
N03156;sex1;regN1c;regN2c;regX;sizeX
N03157;sex1;regX;regX;regX;sizeX
N03158;sex2;regX;regN1a;regX;sizeX
N03159;sex2;regX;regX;regX;sizeX
N03160;sex2;regX;regX;regX;sizeX
N03161;sex1;regX;regX;regX;sizeX
N03162;sex1;regX;regX;regX;sizeX
N03163;sex1;regX;regX;regX;sizeX
N03164;sex1;regX;regX;regX;sizeX
N03165;sex1;regX;regX;regX;sizeX
N03166;sex1;regN1b;regX;regX;sizeX
N03167;sex1;regX;regX;regX;sizeX
N03169;sex1;regX;regX;regX;sizeX
N03170;sex1;regN1a;regX;regX;sizeX
N03171;sex1;regX;regX;regX;sizeX
N03172;sex2;regN1a;regN1b;regN4a;size6
N03173;sex1;regN1a;regN1b;regN1a;size1
N03174;sex2;regN1b;regN1b;regN1b;size1
N03175;sex1;regZ;regN1b;regZ;sizeX
N03176;sex1;regN3d;regN1b;regN1a;size1
N03177;sex1;regX;regX;regX;sizeX
N03178;sex1;regN4a;regX;regN4a;sizeX
N03179;sex1;regN3b;regN3b;regX;sizeX
N03180;sex1;regX;regX;regX;sizeX
N03181;sex1;regX;regX;regX;sizeX
N03182;sex1;regN1b;regN1b;regN1b;size3
N03183;sex1;regN1b;regN1b;regN1b;size5
N03184;sex1;regN1b;regN1b;regN1b;size1
N03185;sex1;regN1b;regN1b;regN1b;size4
N03186;sex2;regN1a;regN1a;regN1a;size2
N03187;sex1;regX;regX;regX;sizeX
N03188;sex1;regX;regX;regX;sizeX
N03189;sex2;regX;regX;regX;sizeX
N03190;sex1;regX;regX;regX;sizeX
N03191;sex1;regN1a;regN1b;regN2e;size2
N03192;sex1;regN1a;regX;regN1a;size2
N03193;sex1;regX;regX;regX;sizeX
N03194;sex1;regN3d;regN3c;regN3d;size1
N03195;sex1;regN1b;regN1b;regX;sizeX
N03196;sex1;regX;regX;regX;sizeX
N03197;sex2;regN1b;regN3b;regX;sizeX
N03198;sex1;regX;regX;regX;sizeX
N03199;sex1;regX;regX;regX;sizeX
N03200;sex1;regX;regX;regX;sizeX
N03201;sex1;regX;regX;regX;sizeX
N03202;sex1;regX;regX;regX;sizeX
N03203;sex2;regX;regX;regX;sizeX
N03204;sex2;regN2e;regN1b;regX;sizeX
N03205;sex1;regX;regX;regX;sizeX
N03206;sex1;regZ;regX;regX;sizeX
N03207;sex1;regX;regX;regX;sizeX
N03208;sex1;regN1b;regX;regX;sizeX
N03209;sex1;regX;regX;regX;sizeX
N03210;sex1;regZ;regX;regZ;sizeX
N03211;sex1;regX;regX;regN2c;size3
N03212;sex1;regX;regX;regX;sizeX
N03213;sex1;regN1b;regZ;regN1b;size1
N03214;sex1;regN4a;regN1b;regN4a;size1
N03215;sex1;regX;regX;regX;sizeX
N03216;sex2;regX;regX;regX;sizeX
N03217;sex2;regN1b;regX;regX;sizeX
N03218;sex2;regX;regX;regX;sizeX
N03219;sex1;regX;regX;regX;sizeX
N03220;sex1;regN1a;regX;regX;sizeX
N03221;sex1;regN1b;regN1b;regN1b;size6
N03222;sex2;regN1b;regN1b;regN2e;size4
N03223;sex1;regX;regX;regX;sizeX
N03224;sex1;regX;regX;regX;sizeX
N03225;sex1;regX;regX;regX;sizeX
N03226;sex1;regX;regX;regX;sizeX
N03227;sex1;regX;regX;regX;sizeX
N03228;sex1;regX;regX;regX;sizeX
N03229;sex1;regX;regX;regX;sizeX
N03230;sex2;regX;regX;regX;sizeX
N03231;sex1;regX;regX;regX;sizeX
N03232;sex1;regX;regX;regX;sizeX
N03233;sex1;regX;regN1c;regX;sizeX
N03234;sex2;regX;regX;regX;sizeX
N03235;sex2;regX;regX;regX;sizeX
N03236;sex1;regN1a;regN1a;regN1a;size4
N03237;sex1;regZ;regN1a;regN1a;size1
N03238;sex1;regN1a;regN4b;regN1a;size1
N03239;sex1;regN2b;regN2a;regN2b;size4
